elapsed,time_per_iteration,best_value
0.0,0.0,1272
0.006638050079345703,0.0033190250396728516,1565
0.08431887626647949,0.007026573022206624,1581
0.09852290153503418,0.007037350109645298,1619
0.2065567970275879,0.0076502517417625145,1629
0.2145709991455078,0.007663249969482422,1633
0.22899293899536133,0.007896308241219356,1668
0.5421719551086426,0.00847143679857254,1670
0.5721039772033691,0.008538865331393568,1697
1.445530891418457,0.00963687260945638,1746
1.5323340892791748,0.009760089740631687,1803
16.541023015975952,0.010085989643887776,1808
32.481853008270264,0.01085986392787371,1818
43.291500091552734,0.011128920332018698,1824
64.43251991271973,0.011359753158095861,1825
220.041512966156,0.012473301568287286,1846
275.4989778995514,0.012448555325089304,1850
300.00094294548035,0.012495353531820581,1850
