elapsed,time_per_iteration,best_value
9.5367431640625e-07,9.5367431640625e-07,1558
0.08321690559387207,0.008321690559387206,1566
0.18750381469726562,0.008928753080822173,1574
0.1973888874053955,0.008972222154790705,1580
0.23854708671569824,0.008835077285766602,1621
0.29830193519592285,0.009039452581694632,1633
0.5243918895721436,0.008739864826202393,1634
0.669104814529419,0.009165819377115327,1637
1.228761911392212,0.009308802359031908,1697
1.5970909595489502,0.009231739650571967,1720
2.4962470531463623,0.008979305946569649,1725
7.6212828159332275,0.008955678984645391,1768
36.867645025253296,0.00909189766344101,1779
144.84946584701538,0.00913070258743163,1784
181.76631617546082,0.009096957918795896,1796
257.03559613227844,0.009052780478719347,1832
300.02104806900024,0.009072302632869678,1832
