elapsed,time_per_iteration,best_value
0.0,0.0,1232
0.011283159255981445,0.005641579627990723,1452
0.020333051681518555,0.0067776838938395185,1475
0.03299307823181152,0.00824826955795288,1522
0.04392433166503906,0.008784866333007813,1570
0.18938326835632324,0.009018250874110631,1662
0.24516510963439941,0.009429427293630747,1668
1.2583081722259521,0.009986572795444064,1686
1.3343369960784912,0.009883977748729565,1761
4.411563158035278,0.009935953058638014,1792
34.12496304512024,0.009871264982678693,1826
300.01204681396484,0.009821004544126124,1826
