name,algorithm,objective,time
knapsack-50-2,greedy,2105,0.001065969467163086
knapsack-50-2,local_search,2105,0.0032472610473632812
knapsack-50-2,grasp,2105,300.0044732093811
knapsack-200-2,greedy,9905,0.002568960189819336
knapsack-200-2,local_search,9905,0.04653596878051758
knapsack-200-2,grasp,9906,300.83045291900635
knapsack-100-2,greedy,4606,0.001461029052734375
knapsack-100-2,local_search,4606,0.03176593780517578
knapsack-100-2,grasp,4611,300.06952810287476
bin_packing-50-2,greedy,4952,0.08314895629882812
bin_packing-50-2,local_search,4952,0.16619539260864258
bin_packing-50-2,grasp,4968,301.4879810810089
bin_packing-100-2,greedy,19568,0.08956074714660645
bin_packing-100-2,local_search,19568,0.5251760482788086
bin_packing-100-2,grasp,19880,547.4104509353638
bin_packing-200-2,greedy,79100,0.8085858821868896
bin_packing-200-2,local_search,79100,1.8344120979309082
bin_packing-200-2,grasp,79678,747.5629680156708
mix-200-2,greedy,16907,0.39470410346984863
mix-200-2,local_search,16907,16.985642910003662
mix-200-2,grasp,16907,302.90128111839294
mix-100-2,greedy,7230,0.03088092803955078
mix-100-2,local_search,7230,0.7438619136810303
mix-100-2,grasp,7230,300.24496507644653
mix-50-2,greedy,5982,0.011297941207885742
mix-50-2,local_search,5982,0.11302399635314941
mix-50-2,grasp,5994,602.1960761547089
