instance,alpha,tune,value,weight
mix-100-1,0.4,2,10723,9293
mix-100-1,0.4,3,10750,9465
mix-100-1,0.4,4,10732,9476
mix-100-1,0.5,0,10754,9623
mix-100-1,0.5,1,10748,9534
mix-100-1,0.5,2,10750,9465
mix-100-1,0.5,3,10725,9434
mix-100-1,0.5,4,10754,9623
mix-100-1,0.6,0,10754,9623
mix-100-1,0.6,1,10754,9623
mix-100-1,0.6,2,10733,9579
mix-100-1,0.6,3,10754,9623
mix-100-1,0.6,4,10754,9623
mix-100-1,0.7,0,10754,9623
mix-100-1,0.7,1,10750,9465
mix-100-1,0.7,2,10750,9465
mix-100-1,0.7,3,10741,9492
mix-100-1,0.7,4,10746,9446
mix-100-1,0.8,0,10762,9504
mix-100-1,0.8,1,10754,9623
mix-100-1,0.8,2,10726,9355
mix-100-1,0.8,3,10733,9579
mix-100-1,0.8,4,10705,9343
mix-100-1,0.9,0,10754,9623
mix-100-1,0.9,1,10754,9623
mix-100-1,0.9,2,10750,9599
mix-100-1,0.9,3,10721,9540
mix-100-1,0.9,4,10750,9599
mix-100-1,1.0,0,10754,9623
mix-100-1,1.0,1,10729,9421
mix-100-1,1.0,2,10733,9579
mix-100-1,1.0,3,10754,9623
mix-100-1,1.0,4,10754,9623
